Country,CO,CH4,NH3,NMVOC,NOx,SO2,PM 10,PM 2.5,Total Cancer,Air Cancer,Chronic Respiratory Diseases,Pneumoconiosis,Asthma,Interstitial Lung Disease and Pulmonary Sarcoidosis,Other Chronic Respiratory Diseases,Total Deaths,Total Population,PCA first component,PCA second component
Belgium,401.786823134306,687.376215179601,130.023789050279,209.348372489059,218.583060534408,64.5516360898765,38.3652789830625,26.1062709822652,32854,7996,6244,90,148,384,64,108659.0,11274196.0,-0.6255088943270662,-0.09332840370008805
Belize,33.4410930052,12.834206510921,1.8368742212711,6.389013242054,6.432196741811,4.136237805113,2.59299373097429,1.85879568148614,249,30,42,0,7,10,1,1756.0,360933.0,-0.9653419287017762,-0.04887086333796669
Benin,1078.265951901,242.99515641427,41.583235256364,261.281164563019,63.203003543332,9.33603713423,105.310424023839,41.5637897722691,4599,438,931,2,711,23,102,81620.0,10575952.0,-0.7765602557574519,0.007655882271496471
Bermuda,10.7993417623,0.895358952153,0.0633400401191,2.79072494759545,5.290824203096,3.693912252874,0.0873679484027366,0.0645229960274583,161,29,10,0,1,4,0,501.0,65237.0,-0.969983151914804,-0.049931087403579044
Bhutan,260.885951234,38.935812585956,8.930840316895,46.3820759632086,6.99430306972,6.11835046469,38.6065127767918,19.5192760065729,422,38,432,1,74,18,5,4045.0,727876.0,-0.9366728955285418,-0.048306508318221655
Bolivia (Plurinational State of),953.62734617,1017.1214931778,131.71144129606,196.166195007091,121.576455028,28.1204068836,63.0767971930627,39.1920050068537,12187,1022,2249,24,214,740,85,64837.0,10869730.0,-0.6841477013479729,0.03936667827515677
Bosnia and Herzegovina,441.023544656,182.03824989137,32.4755926443093,84.8472926193836,71.82935887412,197.528904085,70.2209635797385,38.2906941607732,9325,2360,1136,2,63,32,4,36898.0,3429361.0,-0.8414394641811378,-0.08822514322112768
Botswana,290.3075577,3237.179778122,14.8733328457,62.320519913826,49.39248059934,47.901561336,19.2712968938726,10.3823997349032,1817,259,373,4,198,18,14,15404.0,2120716.0,-0.7801800940691436,-0.08692878805661536
Brazil,29032.9319069711,20731.3093734396,3029.45750417628,5300.21086243933,4093.627081246,1706.18678025116,2670.40276386585,1728.17088379885,240576,33512,60651,453,2762,2929,1177,1267922.0,204471769.0,5.445253777534061,-0.4770075610748594
Brunei Darussalam,98.375368045,197.1886076077,4.88951631861,49.658460823844,15.04382020368,5.45372865278,2.12081933977294,1.03745370399482,449,85,58,0,13,6,2,1765.0,414907.0,-0.9494231556749384,-0.05446935944011843
Bulgaria,291.07845118841,348.240349558521,83.0586962102149,170.71781325062,101.5100094967,536.265419804902,46.5922976469258,27.9909784911182,22710,4855,2761,29,50,45,27,107356.0,7177991.0,-0.7124702022045917,-0.13137100808187152
Burkina Faso,1188.637710409,667.881253828291,118.36179925411,286.89687484515,51.387649241,20.423668441,165.527851789026,74.8958124376253,8552,765,1246,3,1012,30,151,182078.0,18110624.0,-0.6479932538843349,0.04326482481383635
Burundi,393.1054793091,134.185574904707,22.170448615117,107.801282757447,8.7176231424,3.6074488322,74.9127305681714,29.520018178807,4615,277,1302,15,758,39,52,80227.0,10160030.0,-0.8406645622114602,0.0038078090068530417
Cabo Verde,34.3435789982,9.92733970494,1.19606377574,9.4357662295311,9.26704799716,4.3136526155,0.501090815837661,0.398752514447806,527,55,55,0,24,1,4,2932.0,524743.0,-0.9641333331368893,-0.048322507804169544
Cambodia,2315.53336947,962.7056243875,113.6912642098,414.66988342192,99.340425034,50.330037767,229.319435729347,143.775190605855,12407,2491,3074,2,1316,53,38,99197.0,15521436.0,-0.5942701217189325,-0.0412023321337886
