Country,CO,CH4,NH3,NMVOC,NOx,SO2,PM 10,PM 2.5,Total Cancer,Air Cancer,Chronic Respiratory Diseases,Pneumoconiosis,Asthma,Interstitial Lung Disease and Pulmonary Sarcoidosis,Other Chronic Respiratory Diseases,Total Deaths,Total Population
Sierra Leone,446.189316516,151.63348949479,20.8052390839404,105.903972441186,12.7860268152,4.826270994,59.3356843482911,28.095058199305,2826,267,671,1,531,13,60,77119.0,6415634.0
Singapore,179.918290667,76.74241465908,3.39899501517,116.91076248091,147.21854289064,157.9658951605,17.8048036389753,13.3056447129724,5185,1179,502,0,42,28,12,16717.0,5076732.0
Slovakia,304.397196958046,182.2155267002,39.5852651388251,80.389950466558,88.0042092551,51.365133741365,25.2425178344671,17.2900260162068,12485,2312,962,6,55,54,14,52755.0,5391428.0
Slovenia,177.930170407927,143.935584222228,21.3517758972038,46.1009332750362,39.377263036945,18.4837409833684,23.5918744941607,11.9476575896988,5837,1194,485,6,20,33,2,18514.0,2048583.0
Solomon Islands,7.2033332485,4.93703621801,0.7024318395359,3.283010415785,1.6708144174,1.104631895709,0.9199844080416,0.469978754847052,451,75,195,0,85,6,11,3787.0,527861.0
Somalia,927.2778651665,800.06152535087,95.1715833104106,232.050807209611,21.75047994194,7.725525046,121.380849626801,52.5939616508517,6138,292,1512,33,1502,45,63,151624.0,12043883.0
South Africa,5991.65972381141,3158.2659086045,324.321283146639,1668.99110462916,1714.4937132378,2808.21238395,909.417052681928,500.60298988639,49965,7847,12068,221,6316,784,275,675540.0,51216964.0
Spain,2177.2083329492,1752.92040760107,521.74141305624,654.791889685931,969.19619735382,401.062616850814,167.6147292154,104.014574263207,110468,23135,26099,309,1002,2987,251,385765.0,46576897.0
Sri Lanka,1637.37497451,513.685658907,65.7978582686999,266.96093187886,153.8256442438,106.3790567672,132.077178946991,76.0881399459456,15009,1958,4471,1,8196,136,174,121864.0,20261737.0
Sudan,2844.0199427,2862.234452254,410.4825011687,903.9337292464,188.285906215,68.51709377,391.906747980092,145.043254598656,13111,1175,4107,13,2841,175,68,224236.0,34545013.0
Suriname,38.113777714,27.0078066016,3.164278292889,11.9154902496083,16.4250162512378,12.84286806877,2.51057701115171,1.51178338261949,508,64,63,0,13,6,6,3620.0,529126.0
Sweden,707.222469932083,519.070442795229,82.0127162750722,190.669880660585,249.16174240788,186.916259816835,56.547556210039,38.99987895429,23769,3912,3317,21,157,387,29,90362.0,9378126.0
Switzerland,317.013225270193,209.873522279025,66.7251983864516,140.503155342484,95.0180776656762,33.7219454873997,25.8158888849395,18.5003299472198,17727,3690,2296,14,114,240,29,62294.0,7824909.0
Syrian Arab Republic,210.6947325,620.87694803656,56.8874902187,264.65867237716,194.428650112583,399.14121661565,18.7116282349048,14.4934409187934,7602,1163,1575,0,1157,119,28,66079.0,21362529.0
Taiwan (Province of China),2934.7960856397,408.80803310052,77.556190285379,539.925172431557,836.91351789906,1253.37426361248,187.071087768385,118.152130667453,44706,9476,6250,207,718,212,83,146620.0,23187551.0
Tajikistan,83.246856143,236.2262472903,35.43450512745,38.0357787140378,6.8431480598,14.28759301807,4.09217452147564,2.59655475527709,4263,479,1109,0,288,134,118,41145.0,7527394.0
Thailand,10291.053094365,4837.7116610472,618.93615843304,2204.95333644896,902.53198805273,682.117706882337,986.648049143907,544.056962320328,88678,18077,17633,8,3768,251,250,391204.0,67195028.0
Timor-Leste,31.107242937,34.8874119232,4.51224677760642,6.50070327514686,2.5075630888,1.2249293373,2.09672649790421,1.54520093043965,559,113,242,0,113,4,3,6207.0,1093523.0
Togo,695.194260218,153.5812269937,32.58574849993,201.016085779906,23.0492905706,4.9001807255,93.8074345677991,31.8210118169977,2720,276,555,1,462,12,60,57098.0,6421679.0
Tonga,1.3110390395,2.65358680805,0.7708305983459,1.192976917578,1.25888583912,1.057916599209,0.0776755162523,0.04919849545986,117,21,29,0,9,1,1,684.0,103986.0
Trinidad and Tobago,150.3952024223,648.50677997864,11.711548192075,80.5249257548,49.805474913511,6.21417283002,4.34571059258491,3.41043069033797,1618,159,140,0,50,23,3,9902.0,1328147.0
Tunisia,345.7544154043,362.98572410173,45.359325306414,180.511311426912,79.226015333665,36.4536225153,56.676984780598,24.6783198826163,7702,1889,1481,3,675,80,17,56492.0,10635244.0
Turkey,3911.5484462152,3108.12906299536,588.490332836624,855.645086663775,816.08495364722,1470.52177451301,445.852091901517,325.52671797745,83442,23677,25501,82,2580,749,227,359920.0,72326988.0
Turkmenistan,239.1194975,1251.2714508743,89.3664972275001,111.695478081647,112.365466243,21.133944941,6.5296372197497,4.46600219124701,2648,255,277,0,50,12,9,29543.0,5087213.0
Uganda,3289.618864965,971.2170656255,198.583122466366,705.971232848485,79.83528721,35.804547658,527.217729612345,241.049031233057,15587,710,2701,33,1633,113,121,281602.0,32428167.0
Ukraine,2697.82670238463,2620.91510265346,397.831982477,873.252295647173,816.056133258101,1124.72000815458,159.553313064176,102.619969612532,88898,14825,12229,145,310,358,107,676110.0,45870741.0
United Arab Emirates,552.506171542,1354.2814003637,15.18064380941,720.457694498621,477.24187527467,96.12202727023,29.5712243229086,20.3569630363168,2528,221,562,2,349,42,31,17015.0,8549988.0
United Kingdom,1625.02565418998,4081.93269971529,483.389839758322,761.18451797442,1038.43965688942,397.110131113607,125.548776425448,86.4997374471461,168713,38728,37928,407,1345,4368,296,566793.0,62766365.0
United Republic of Tanzania,3991.423917661,1520.148784297,257.256810982,933.304142566452,112.618505043,33.116678201,576.896425790398,270.230685843858,23390,1584,3478,38,2101,138,157,386480.0,44346525.0
United States of America,50251.5933893975,23155.8911571994,3925.06515026614,10787.61653993,13317.6494215774,10382.4267616785,2360.62630381311,1505.42055137623,639574,181439,158404,966,3729,17152,2010,2481450.0,309321666.0
Uruguay,510.13174127,994.36122849957,92.4803589166903,80.4192932335804,58.5013287777,41.2031483509588,36.9590539918182,25.1919063825678,9279,1656,1685,1,124,119,14,31409.0,3359275.0
Uzbekistan,474.521152096,2035.78529327759,202.148863470532,237.60927775196,177.372623675,78.4357828577,20.0947537007666,13.2644694169875,16650,1777,1913,6,1065,214,159,187328.0,28562400.0
Vanuatu,5.0953741114,14.873374506848,2.2252325073544,2.0259758673889,1.0362831013,0.80948707841,0.6897568867352,0.35289025381971,161,29,86,0,38,3,6,1858.0,236211.0
Venezuela (Bolivarian Republic of),6952.52665636,2659.441148433,202.1315689088,1783.70230104244,725.1372527811,527.3754224804,66.034738610102,46.7043849857722,24154,4095,3940,6,303,255,32,138692.0,28439940.0
Viet Nam,8353.52981112,4390.912332975,596.8823605051,1519.68035928485,834.809095954,677.554358397,820.53494191433,552.459147031299,82905,17351,24535,17,6881,513,253,530625.0,87967651.0
Yemen,216.926557268,755.0368762533,41.8694419982,174.554323333967,121.2405609824,151.36006139929,15.2566497539401,7.07432339498509,9059,979,2531,7,1770,89,38,139893.0,23154855.0
Zambia,1628.009241482,397.05530488294,95.487694423755,415.84880350779,40.0408827058,98.453818111,232.72731771597,103.74806958634,7214,493,1190,15,781,44,50,136648.0,13605984.0
Zimbabwe,1446.509286266,504.396013098,90.344942042824,260.038324677012,65.1603082997,78.834704512,225.28462949403,122.408701473873,10366,804,1108,5,1539,34,54,181921.0,12697723.0
