Country,CO,CH4,NH3,NMVOC,NOx,SO2,PM 10,PM 2.5,Total Cancer,Air Cancer,Chronic Respiratory Diseases,Pneumoconiosis,Asthma,Interstitial Lung Disease and Pulmonary Sarcoidosis,Other Chronic Respiratory Diseases,Total Population
Malta,16.0592397302,5.841082127925,1.71303283573006,5.01860479926487,11.8924069416,17.716136728552,1.82266853815974,1.30774764141676,773,148,105,0,5,18,0,403834.0
Marshall Islands,,0.077426945433,0.00048250686156,0.006332389546584,,,3.12348e-06,2.6029e-06,37,6,13,0,7,0,1,55258.0
Mauritania,200.3535429734,249.2718670639,28.2881602394119,60.929077455723,30.4265164056,13.37280779997,15.1440913406755,7.29428565868881,1390,137,252,0,174,7,17,3024194.0
Mauritius,62.989144959,18.0913958633,4.22906572479,18.1899519243409,32.500986093971,28.65364161813,8.34014608231131,5.72150226283548,1014,144,198,0,194,44,10,1228254.0
Mexico,10082.6084135934,6270.58528213922,700.898361404816,2447.4691602096,2084.85231449343,2003.18944310884,412.439155732491,250.629364934569,69298,7973,20839,150,1850,1770,524,106005203.0
Micronesia (Federated States of),0.020266666,1.036796384214,0.33909537144323,0.044281460250222,0.01961942957,0.000113433005,0.011646354553406,0.00319467765568871,87,15,35,0,16,1,2,106129.0
Monaco,,,,,,,,,206,55,16,0,0,1,0,33843.0
Mongolia,323.579151773,371.642729958,67.94044638312,57.1977177828,47.39052932481,70.064734931,30.061658137018,17.6590705910413,3724,409,279,1,106,20,12,2526424.0
Montenegro,,,,,,,,,1440,473,66,2,3,2,1,614261.0
Morocco,533.0624251917,560.25324918908,101.73971074605,201.32548601542,182.91905887501,315.957015032611,101.631306925397,55.2816557560615,17297,3091,3877,9,2901,175,42,30455561.0
Mozambique,1549.189475852,403.2951457948,73.35026301975,326.753984137338,42.059178808,18.852795888,219.023409976196,107.813036454974,8185,533,1754,27,1218,54,55,20493925.0
Myanmar,3401.863220567,3141.5143092012,331.377076451,587.541259274628,140.9174825618,49.49891849809,427.773580401969,266.254572720918,42221,7694,27766,21,13992,431,322,48949924.0
Namibia,182.06797025,211.9097585986,27.89516151712,49.861728430858,18.467567498257,8.3909908429,12.5763446496813,5.47079876610911,1083,75,515,7,267,21,13,1938320.0
Nauru,,0.25427690858,0.0179206038687,0.094858208006266,0.0006871649,,0.00030430594128,5.5808147199e-05,7,1,2,0,1,0,0,9849.0
Nepal,1810.2463747,1088.4763981544,109.69566509483,339.016105479907,55.321662075,24.837219889,256.953286228206,140.04386113791,12298,986,18997,65,5203,1028,252,25744500.0
Netherlands,1002.59966286248,987.453135055481,225.897022118923,297.956234827932,417.567043784875,75.9437466220772,37.8608422490973,22.1714092985689,41961,10086,8240,33,96,362,45,16319868.0
New Zealand,312.6728651448,1417.2522922141,169.689741826174,106.703581000951,128.426284975,55.79909098463,24.4213055628403,17.0760729558259,7899,1525,1672,9,74,107,21,4133900.0
Nicaragua,542.757595232,268.683792579,44.8278539193,105.756570623182,49.6826675055,40.9817255127,37.9983856971295,20.9576116258402,2989,241,782,2,145,26,7,5438690.0
Niger,444.806357074,620.2015512711,73.73078960127,104.88649777039,20.8154034726,5.6350058713,52.8582758528055,29.2437760422965,4041,362,1073,3,1157,32,140,13624467.0
Nigeria,19575.670646,7385.118852462,708.79281353204,4237.49840989001,623.12499768,172.196334715,2470.08134748331,1215.16037329986,51744,4182,12042,26,8498,368,856,138865016.0
Niue,0.0020478208,0.03795689059,0.01725930175743,0.002902246566623,0.000849681726,1.1728557e-05,0.000963850190424,0.0002817043356047,2,0,1,0,0,0,0,
North Macedonia,82.772303286,72.30007211315,12.483762569016,20.4840127631531,25.7501587027,98.68506404658,15.7033549231642,10.2816432444092,4423,1006,533,1,89,7,1,2060273.0
Northern Mariana Islands,,0.1426943679,0.0006339361614,0.00828058732718,,,3.86232e-06,3.2186e-06,53,13,10,0,2,1,0,56542.0
Norway,591.41377467052,875.9112894804,52.270154331931,289.92729898056,160.20418741326,96.1164247985264,38.6622976677005,29.0003089561842,11253,2069,2010,15,132,132,11,4623291.0
Oman,204.04272252,847.814998289856,7.23293453880853,261.777867767111,65.22391839889,56.90750067678,4.98593544336848,3.80297080804161,854,93,164,0,6,10,13,2511251.0
Pakistan,7395.247646065,5832.377753424,1044.19231750354,1428.84747441196,819.4574261308,631.1957465154,900.723163917392,517.192061178839,120083,13201,55834,241,17048,2305,875,160304008.0
Palau,10.534970548,1.72830465525,0.130497699425,5.274941528471,16.540072544,15.38262705116,0.66013015635,0.570514559867,27,6,8,0,1,0,2,19781.0
Palestine,,,,,,,,,1619,269,229,0,101,56,3,
Panama,372.57072549,158.0459364777,20.58896500141,72.772801740757,50.3284333794,55.0938076517,17.2977003013511,10.0766079697121,2550,295,512,0,67,36,8,3330217.0
Papua New Guinea,268.2321142284,125.80372684413,14.8776379977,79.76375392179,37.7857912785,32.5589491312,39.9836550943562,20.1970667990901,3283,555,3220,7,1539,112,176,6494903.0
Paraguay,780.81117731,660.6994646136,80.26111948186,138.725808104536,51.2253141698,8.29868125023,74.0205163145655,41.4556714282882,4072,542,536,17,65,31,12,5824096.0
Peru,1144.0223475748,851.72530672368,146.85046181113,280.635942643738,169.98180292004,248.952877578058,103.689603275643,60.0515479687933,22473,2171,2103,74,256,1967,191,27866145.0
Philippines,4620.22482715,2685.32295194651,329.354348045283,1012.62516521237,533.84516688895,424.730383330317,443.979581889144,285.270349901757,50495,9266,14478,13,9962,116,195,86326250.0
Poland,2650.07623934842,2685.39968133462,468.438166588523,951.824145922843,798.47479582324,873.101755637665,293.976998181577,182.406999644957,102385,26702,9377,112,793,342,72,38165445.0
Portugal,582.60812274225,546.065547989474,75.5041331330066,149.588641265184,222.36930902112,157.020414060275,61.6226357635282,44.9289444303944,26702,4088,5299,107,132,361,30,10503330.0
Puerto Rico,3.126787419,72.484279977646,6.6356813605105,22.675880089253,4.11111628069,0.678511026421,1.4193195014544,0.688930724325409,5653,734,1274,1,122,115,17,3821362.0
Qatar,176.8791214454,1110.45547138257,5.451600956665,295.615345627703,87.435555157236,11.510858301775,3.96174347809776,3.54333019273019,299,42,26,0,5,1,1,865416.0
Republic of Korea,3565.19173607228,1325.55194438002,141.346490440319,822.338823631656,1496.90119770174,1004.740893966,192.192416058756,127.487385915215,71854,14450,7662,405,3587,702,73,48184561.0
Republic of Moldova,90.534182528,165.8050774385,21.442351562605,43.495135166557,25.5872057097,5.97978105465,6.51535130556131,4.26125065624038,5997,1013,1664,0,93,12,5,2888111.0
Romania,1214.9831647125,834.49981790767,214.253778600157,293.103290469336,286.9042920494,468.655613255529,141.946772633606,82.3330924655219,45061,9431,7934,84,461,522,32,21319685.0
Russian Federation,11575.5046304614,15333.6497711859,995.747852141169,4411.33708874943,4272.056781504,3056.99695395871,520.599879652101,358.79551601217,318877,61539,42736,359,4684,651,462,143518814.0
Rwanda,399.2173481029,122.55410542994,21.4600795757758,93.2121234106228,11.27416329512,6.23320155767,62.1233392067317,29.3040391998857,4428,252,1102,11,772,33,52,8840215.0
Saint Kitts and Nevis,2.27818443936,0.8447350182191,0.211112061738,0.53563994062035,1.274009019224,0.544600462092001,0.234829085726527,0.201198720315401,67,4,6,0,1,0,0,46852.0
Saint Lucia,4.0707130959,3.553487903257,0.5072913223056,1.42677991196293,2.33453876071,1.198907294508,0.20786030393958,0.106042820161624,187,15,29,0,7,2,1,163417.0
Saint Vincent and the Grenadines,2.99488617557,1.9142093112064,0.2799319025405,0.90714684506944,1.42502679222,0.726955755264,0.139846581575661,0.0952221590174137,130,8,8,0,3,0,0,108614.0
Samoa,3.7719152424,5.977033886695,1.6352822937878,1.6619272959964,1.286380114257,1.1351184691118,0.575432052803134,0.298891925591817,125,12,67,0,26,2,3,179727.0
San Marino,,,,,,,,,90,16,6,0,0,0,0,29324.0
Sao Tome and Principe,8.590003172078,2.505555294719,0.41340738036067,2.51396469632448,0.564830316121,0.2582525805933,0.9584205414241,0.426616827209172,96,12,41,0,25,1,2,157472.0
Saudi Arabia,2715.0622314863,2867.4368217274,88.3748279614,3144.60221636664,1392.579792303,1630.893440541,72.389428539113,51.8105039810281,7644,872,1747,1,884,384,41,23816183.0
Senegal,407.356562796,299.040838164,44.0782395415,130.868694833606,42.3264328625,45.4609384692,52.1995163634896,20.8621475888821,5299,577,1138,2,866,30,96,11090116.0
Serbia,950.701186123,310.6387629007,116.820000538504,226.43745978512,183.1046696403,378.3740918512,86.5391607392008,57.068860304587,26268,6534,3565,7,466,64,19,7440769.0
Seychelles,11.05227417307,3.51323671475,0.17100122601252,6.4667485550656,5.197903711254,2.911351671271,0.259906327156578,0.193299371898956,128,14,22,0,6,0,0,82858.0
Sierra Leone,415.5988440634,137.95854794436,16.745516751341,96.035036905578,9.69197362129,3.80094737362,56.408596320765,27.0887056533697,2458,229,625,1,497,12,51,5645624.0
Singapore,248.2821712019,69.04548296753,2.90479334042,125.09401372943,126.08027845657,170.453451018184,10.9660557513922,7.67180389346169,4302,1006,517,0,53,20,9,4265762.0
Slovakia,348.826603474314,158.36372705186,42.811791321165,88.2597847686008,112.820477181,78.570647859795,24.0203286030811,15.8630603258127,11075,1979,938,10,71,44,17,5372807.0
Slovenia,208.410138618395,143.965588438527,26.9852694221167,49.9155854618655,50.77148631598,25.8977887474103,19.1556890875249,10.1730174315249,5275,1104,535,5,26,23,2,2000474.0
Solomon Islands,7.6688117726,4.444015035175,0.7022652941015,3.264871501744,2.2470510545,1.665986825891,1.02128158340025,0.533432926475607,400,67,183,0,81,5,10,469918.0
Somalia,771.0526491194,832.38606128273,98.1520105708237,191.299081661115,20.92759079175,6.972572452,101.62037720449,45.2575134719661,5194,248,1277,28,1279,38,50,10446863.0
South Africa,7134.7567445119,2996.6673002632,297.786330621692,1790.57575058713,1688.8842288825,2602.511792696,894.278729499658,511.861480679805,46088,7254,11813,227,7748,797,306,47880601.0
South Sudan,,,,,,,,,3202,255,664,7,482,27,26,7535932.0
Spain,3142.05135036,1712.51244726805,520.22635852285,768.73268045964,1315.5799384678,715.315721286175,185.825317666732,120.244904717004,100215,20533,26717,347,985,2598,230,43653155.0
Sri Lanka,1524.38090943,459.201530732,56.7089781488,242.545052987904,162.2077866823,130.016124423,121.812794803758,71.3118950427568,13234,1474,3891,1,8138,120,199,19544988.0
Sudan,2876.13810728,2737.68212869,403.4014892671,868.56870199566,169.392169497,63.490711776,414.61164914866,153.773968547472,11709,1058,4083,12,3129,158,58,30949516.0
Suriname,31.019338095,22.8062697838,2.84101664673,9.74825004549548,15.320800506012,16.40395914781,2.32159694710978,1.39817723061771,442,55,59,1,14,5,6,499461.0
Sweden,1003.63119229695,526.980227667928,87.7669951342124,209.856263497991,278.2841199556,175.864070624027,57.8400565176468,38.7981996885233,23232,3654,3074,22,174,331,27,9029572.0
Switzerland,434.203843618497,205.459130146552,69.5705550076303,132.358193330411,104.663018463623,36.1270401859501,23.9823035387055,16.9107096141452,16638,3490,2173,19,130,203,26,7437115.0
Syrian Arab Republic,375.691116384,619.44064249904,69.6833891661,255.452830982858,240.833469656573,426.192387938,21.7915256656072,17.6577671716511,6153,828,1304,0,1048,91,19,18361176.0
Taiwan (Province of China),4913.69341432637,412.82087106938,80.1373955928128,691.443866620353,957.42184766636,1347.36991813338,189.586599744562,119.72653374426,39091,8206,5775,225,1091,156,61,
